2026-06-30 12:06:12 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2026-06-30 12:06:15 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
2026-06-30 12:06:15 [main] INFO  com.bocoo.BocooApplication - Started BocooApplication in 3.558 seconds (process running for 3.678)
2026-06-30 12:06:15 [main] INFO  c.b.s.runner.SystemApplicationRunner - 初始化OSS配置成功
2026-06-30 12:06:15 [main] INFO  c.b.s.runner.SystemApplicationRunner - 加载参数缓存数据成功
2026-06-30 12:06:15 [main] INFO  c.b.s.runner.SystemApplicationRunner - 加载字典缓存数据成功
2026-06-30 12:08:52 [http-nio-8081-exec-1] INFO  o.a.tomcat.util.http.parser.Cookie - A cookie header was received [g_state={"i_l":0,"i_ll":1782785786238,"i_b":"1ZAaFDI4VT1xfQ167RUJi1ga+LbhFUc2PzzqcENTi1U","i_e":{"enable_itp_optimization":24},"i_et":1782785786238};] that contained an invalid cookie. That cookie will be ignored.
 Note: further occurrences of this error will be logged at DEBUG level.
2026-06-30 12:08:52 [http-nio-8081-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-06-30 12:08:52 [http-nio-8081-exec-1] INFO  c.b.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /ai/bootstrap],无参数
2026-06-30 12:08:52 [http-nio-8081-exec-1] INFO  c.b.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /ai/bootstrap],耗时:[207]毫秒
2026-06-30 12:08:52 [http-nio-8081-exec-2] INFO  c.b.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[POST /internal/ai/authz/check],参数类型[json],参数:[{"channel":"page-agent","routePath":"/ai/credentials","requestId":"req-4ab92cbd72af26d0d8bbfb6bb3885d54","sessionId":"page-agent-a34933f6bd90d12ad3ac31350fe37acd","channelToken":"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpc3MiOiJkZWFsZXItYWRtaW4iLCJhdWQiOiJwYWdlLWFnZW50LWNoYW5uZWwiLCJpYXQiOjE3ODI3OTI1MzIsImV4cCI6MTc4Mjc5MzQzMiwianRpIjoiZmEzMWNmMTAtMTE5Ni00ZDdhLThiZjgtOTljNzNjNTgyMTg1IiwidGVuYW50SWQiOjEsInVzZXJJZCI6MSwidXNlcm5hbWUiOiJhZG1pbiIsImFkbWluIjp0cnVlLCJwZXJtaXNzaW9ucyI6WyIqOio6KiJdfQ.5-FTP7V9H5OiaOFENhVmwLmOieFrIWX2UHnpFw2LTOA"}]
2026-06-30 12:08:52 [http-nio-8081-exec-2] INFO  c.b.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[POST /internal/ai/authz/check],耗时:[23]毫秒
2026-06-30 12:11:18 [SpringApplicationShutdownHook] INFO  c.b.c.core.config.ThreadPoolConfig - ====关闭后台任务任务线程池====
2026-06-30 12:11:18 [SpringApplicationShutdownHook] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource start closing ....
2026-06-30 12:11:18 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - master - Shutdown initiated...
2026-06-30 12:11:18 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - master - Shutdown completed.
2026-06-30 12:11:18 [SpringApplicationShutdownHook] INFO  c.b.d.d.d.DefaultDataSourceDestroyer - dynamic-datasource close the datasource named [master] success,
2026-06-30 12:11:18 [SpringApplicationShutdownHook] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource all closed success,bye
2026-06-30 12:11:50 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2026-06-30 12:11:50 [main] INFO  com.bocoo.BocooApplication - Starting BocooApplication using Java 17.0.19 with PID 62438 (/Users/chengmuxuan/Desktop/cmx/base-boot/bocoo-admin/target/classes started by chengmuxuan in /Users/chengmuxuan/Desktop/cmx/base-boot/bocoo-admin)
2026-06-30 12:11:50 [main] INFO  com.bocoo.BocooApplication - The following 1 profile is active: "dev"
2026-06-30 12:11:51 [main] INFO  c.b.c.web.i18n.JsonMessageSource - Loaded JSON i18n locales: [en_US, zh_CN]
2026-06-30 12:11:51 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2026-06-30 12:11:51 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-06-30 12:11:51 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.33]
2026-06-30 12:11:51 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-06-30 12:11:51 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource detect P6SPY plugin and enabled it
2026-06-30 12:11:51 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Starting...
2026-06-30 12:11:51 [main] INFO  com.zaxxer.hikari.pool.HikariPool - master - Added connection org.postgresql.jdbc.PgConnection@106c3e0a
2026-06-30 12:11:51 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Start completed.
2026-06-30 12:11:51 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [master] success
2026-06-30 12:11:51 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource initial loaded [1] datasource,primary datasource named [master]
2026-06-30 12:11:51 [main] INFO  c.b.common.redis.config.RedisConfig - 初始化 redis 配置
2026-06-30 12:11:51 [main] INFO  org.redisson.Version - Redisson 3.52.0
2026-06-30 12:11:52 [redisson-netty-1-5] INFO  o.r.connection.ConnectionsHolder - 1 connections initialized for 127.0.0.1/127.0.0.1:6379
2026-06-30 12:11:52 [redisson-netty-1-3] INFO  o.r.connection.ConnectionsHolder - 8 connections initialized for 127.0.0.1/127.0.0.1:6379
2026-06-30 12:11:52 [main] INFO  c.b.common.json.config.JacksonConfig - 初始化 jackson 配置
2026-06-30 12:11:53 [main] INFO  c.b.c.w.s.ServerEndpointExporter - [34mNetty WebSocket started on port: 2831 with context path(s): '/ws' .[0m
2026-06-30 12:11:53 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
2026-06-30 12:11:53 [main] INFO  com.bocoo.BocooApplication - Started BocooApplication in 3.681 seconds (process running for 3.812)
2026-06-30 12:11:53 [main] INFO  c.b.s.runner.SystemApplicationRunner - 初始化OSS配置成功
2026-06-30 12:11:53 [main] INFO  c.b.s.runner.SystemApplicationRunner - 加载参数缓存数据成功
2026-06-30 12:11:53 [main] INFO  c.b.s.runner.SystemApplicationRunner - 加载字典缓存数据成功
2026-06-30 12:12:59 [http-nio-8081-exec-1] INFO  o.a.tomcat.util.http.parser.Cookie - A cookie header was received [g_state={"i_l":0,"i_ll":1782785786238,"i_b":"1ZAaFDI4VT1xfQ167RUJi1ga+LbhFUc2PzzqcENTi1U","i_e":{"enable_itp_optimization":24},"i_et":1782785786238};] that contained an invalid cookie. That cookie will be ignored.
 Note: further occurrences of this error will be logged at DEBUG level.
2026-06-30 12:12:59 [http-nio-8081-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-06-30 12:12:59 [http-nio-8081-exec-1] INFO  c.b.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /ai/bootstrap],无参数
2026-06-30 12:12:59 [http-nio-8081-exec-1] INFO  c.b.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /ai/bootstrap],耗时:[224]毫秒
2026-06-30 12:12:59 [http-nio-8081-exec-2] INFO  c.b.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[POST /internal/ai/authz/check],参数类型[json],参数:[{"channel":"page-agent","routePath":"/ai/credentials","requestId":"req-b542ce4553ed698eadd5f07b1cd3e576","sessionId":"page-agent-7e537348c2aa6357808ed7d65025f741","channelToken":"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpc3MiOiJkZWFsZXItYWRtaW4iLCJhdWQiOiJwYWdlLWFnZW50LWNoYW5uZWwiLCJpYXQiOjE3ODI3OTI3NzksImV4cCI6MTc4Mjc5MzY3OSwianRpIjoiNmI3ODg4YmItOGZlYi00YjVjLTk5M2QtNGI1OGY1YzFmM2QwIiwidGVuYW50SWQiOjEsInVzZXJJZCI6MSwidXNlcm5hbWUiOiJhZG1pbiIsImFkbWluIjp0cnVlLCJwZXJtaXNzaW9ucyI6WyIqOio6KiJdfQ.HirW3-L9IOQhRNCyIx7Wf_OWg0PAyR7PNnQ9UKoKu4k"}]
2026-06-30 12:12:59 [http-nio-8081-exec-2] INFO  c.b.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[POST /internal/ai/authz/check],耗时:[24]毫秒
2026-06-30 12:14:24 [http-nio-8081-exec-3] INFO  c.b.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /getInfo],无参数
2026-06-30 12:14:24 [http-nio-8081-exec-3] INFO  c.b.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /getInfo],耗时:[54]毫秒
2026-06-30 12:14:24 [http-nio-8081-exec-4] INFO  c.b.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /getRouters],无参数
2026-06-30 12:14:24 [http-nio-8081-exec-4] INFO  c.b.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /getRouters],耗时:[10]毫秒
2026-06-30 12:14:24 [http-nio-8081-exec-5] INFO  c.b.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /system/notice/my/unread-count],无参数
2026-06-30 12:14:24 [http-nio-8081-exec-9] INFO  c.b.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /product-capability/units/options],参数类型[param],参数:[{"status":["ENABLED"],"pageNum":["1"],"pageSize":["500"]}]
2026-06-30 12:14:24 [http-nio-8081-exec-10] INFO  c.b.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /product-formula/formulas/list],参数类型[param],参数:[{"status":["DRAFT"],"pageNum":["1"],"pageSize":["500"]}]
2026-06-30 12:14:24 [http-nio-8081-exec-8] INFO  c.b.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /product-capability/materials/options],参数类型[param],参数:[{"status":["ENABLED"],"pageNum":["1"],"pageSize":["1000"]}]
2026-06-30 12:14:24 [http-nio-8081-exec-7] INFO  c.b.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /product-capability/material-types/options],参数类型[param],参数:[{"status":["ENABLED"],"pageNum":["1"],"pageSize":["500"]}]
2026-06-30 12:14:24 [http-nio-8081-exec-6] INFO  c.b.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /product-capability/material-type-groups/options],参数类型[param],参数:[{"status":["ENABLED"],"pageNum":["1"],"pageSize":["500"]}]
2026-06-30 12:14:24 [http-nio-8081-exec-5] INFO  c.b.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /system/notice/my/unread-count],耗时:[12]毫秒
2026-06-30 12:14:24 [http-nio-8081-exec-1] INFO  c.b.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /product-formula/formulas/list],参数类型[param],参数:[{"status":["REJECTED"],"pageNum":["1"],"pageSize":["500"]}]
2026-06-30 12:14:24 [http-nio-8081-exec-9] INFO  c.b.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /product-capability/units/options],耗时:[24]毫秒
2026-06-30 12:14:24 [http-nio-8081-exec-6] INFO  c.b.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /product-capability/material-type-groups/options],耗时:[24]毫秒
2026-06-30 12:14:24 [http-nio-8081-exec-7] INFO  c.b.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /product-capability/material-types/options],耗时:[27]毫秒
2026-06-30 12:14:24 [http-nio-8081-exec-2] INFO  c.b.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /ai/bootstrap],无参数
2026-06-30 12:14:24 [http-nio-8081-exec-1] INFO  c.b.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /product-formula/formulas/list],耗时:[15]毫秒
2026-06-30 12:14:24 [http-nio-8081-exec-10] INFO  c.b.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /product-formula/formulas/list],耗时:[35]毫秒
2026-06-30 12:14:24 [http-nio-8081-exec-2] INFO  c.b.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /ai/bootstrap],耗时:[11]毫秒
2026-06-30 12:14:24 [http-nio-8081-exec-8] INFO  c.b.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /product-capability/materials/options],耗时:[45]毫秒
2026-06-30 12:14:24 [http-nio-8081-exec-3] INFO  c.b.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /product-formula/formulas/2071518185567342593/materials],无参数
2026-06-30 12:14:24 [http-nio-8081-exec-4] INFO  c.b.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /product-formula/formulas/2071518185567342593/materials],无参数
2026-06-30 12:14:24 [http-nio-8081-exec-4] INFO  c.b.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /product-formula/formulas/2071518185567342593/materials],耗时:[19]毫秒
2026-06-30 12:14:24 [http-nio-8081-exec-3] INFO  c.b.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /product-formula/formulas/2071518185567342593/materials],耗时:[26]毫秒
2026-06-30 12:14:28 [http-nio-8081-exec-5] INFO  c.b.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /product-formula/formulas/2070153961905676289/materials],无参数
2026-06-30 12:14:28 [http-nio-8081-exec-5] INFO  c.b.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /product-formula/formulas/2070153961905676289/materials],耗时:[39]毫秒
